id_from;id_to;travel_length
1;5;58.36
1;9568;47.77
2;19;97.65
2;3;217.11
3;16;79.1
3;42149;81.04
4;42152;35.53
4;8;116.7
4;33;136.97
5;9;58.71
5;6;218.74
6;2;60.05
6;7;217.13
7;3;56.24
8;42147;101.97
8;11;216.43
8;15;118.93
9;12;58.97
9;40;215.56
10;6;57.45
10;9;218.52
11;7;60.26
11;10;217.58
12;25690;58.97
12;13;218.6
13;10;59.97
14;11;120.42
14;25691;216.9
15;14;217.09
15;21;120.27
16;18;100.16
16;2;231.21
17;42150;43.02
18;34;303.5
19;42154;146.5
20;14;119.06
20;21;217.56
21;27;122.3
21;25694;218.39
22;15;218.8
23;25695;105.06
23;22;191.84
24;28;126.08
24;52;219.39
25;25693;119.24
25;24;219.38
26;25;215.83
26;20;118.87
27;26;216.59
27;31;124.14
28;55;216.44
28;21500;13.77
29;25;127.58
29;28;212.55
30;29;217.58
30;26;128.98
31;30;223.44
32;25697;123.97
32;42145;142.12
33;4;136.97
34;43330;534.84
34;41402;126.85
35;38;57.56
35;36;219.68
35;42146;39.59
36;62;69.85
36;37;218.41
37;40;58.62
37;5;215.84
38;60;35.4
38;41;60.68
39;36;59.59
39;38;220.85
40;43;60.24
40;39;218.47
41;42;217.59
41;44;58.26
42;39;59.63
42;43;218.72
43;46;58.0
43;12;216.81
44;58;72.37
44;47;119.62
45;42;58.8
45;44;219.36
46;49;119.82
46;45;216.27
47;48;218.96
47;50;120.33
48;45;117.53
48;49;215.27
49;52;120.56
49;25692;218.64
50;65;78.57
50;53;124.74
51;48;120.76
51;50;217.43
52;51;214.58
52;55;126.27
53;203;16.17
53;66;79.38
54;51;125.71
54;53;216.55
55;69015;13.31
55;69066;132.74
56;62;162.38
57;64;29.16
57;58;127.73
58;59;61.3
59;41;52.51
59;60;55.58
60;61;68.43
61;35;15.31
61;63351;25.74
62;41650;23.97
62;63;226.4
63;37;68.16
63;21399;87.83
64;53152;41.14
64;65;121.46
65;66;130.26
65;127;63.09
66;191;84.61
67;68;245.14
68;41932;111.34
68;77;124.09
69;21464;8.8
69;2585;266.52
69;1156;864.01
69;65037;177.85
70;81;8.87
71;95;179.87
71;83;109.22
72;662;83.76
73;79;192.47
73;2131;85.8
74;1155;16.66
74;75;182.61
75;67;24.64
75;20129;36.8
76;1165;14.16
76;1167;266.39
77;1859;89.19
77;78;93.2
78;1153;38.94
79;2699;33.51
79;1859;67.01
80;85;172.07
80;88;264.44
81;9343;176.12
81;2588;91.88
82;6037;103.97
83;82;222.5
83;72;63.81
84;1798;23.07
84;18457;166.04
84;87;74.02
85;2118;96.58
85;91;103.87
86;2136;38.95
87;84;74.02
87;1839;158.45
88;87;47.01
89;90;61.03
89;1183;272.29
90;93;20.66
91;25495;33.68
91;90;48.31
92;2702;17.08
92;68292;18.62
93;1184;307.27
93;70;102.0
94;2587;70.23
95;94;127.34
95;1170;143.23
96;88;131.89
96;1842;41.58
97;68693;90.78
97;1805;224.18
98;29856;72.84
99;60792;21.86
99;2135;132.81
100;1837;89.76
100;4154;129.65
101;2114;75.29
101;1666;107.31
102;101;73.28
102;1250;301.18
103;8870;71.97
103;238;228.3
104;4157;88.95
104;2693;25.64
105;2694;103.62
105;272;157.71
105;642;157.88
106;2134;17.19
106;2135;30.3
106;2133;165.29
107;1829;46.07
108;2133;3.76
108;111;7.06
108;2698;21.72
109;68729;16.63
109;110;15.93
110;68729;7.78
110;2098;1391.96
111;108;7.06
111;62390;160.11
112;59362;100.68
113;40738;78.79
113;1259;164.08
114;19303;92.14
114;126;120.37
115;114;83.4
115;1663;184.72
116;115;76.09
116;1132;185.93
117;116;83.0
117;129;123.52
118;59363;14.11
118;120;26.52
119;117;77.89
119;130;120.9
120;641;60.86
120;21450;193.14
121;119;107.29
121;1664;185.37
122;42367;55.36
122;53774;180.57
122;132;121.19
123;1323;121.98
123;4062;84.16
124;133;118.15
124;122;83.78
125;113;123.35
125;53153;102.7
126;128;86.12
126;21472;81.29
127;197;118.07
127;57;125.68
128;1131;81.21
128;115;120.31
129;1133;219.81
129;130;84.52
130;131;107.0
130;1134;221.82
131;121;122.38
131;132;108.53
132;133;89.43
132;42358;94.99
132;122;121.19
133;42359;93.6
133;198;123.03
134;40474;19.1
134;40475;29.77
135;49068;29.87
135;53300;35.63
136;25511;24.41
136;25513;202.2
137;661;44.02
137;21480;383.61
