id_from;id_to;travel_time
1;5;6.9
1;9568;5.6
2;19;11.5
2;3;25.5
3;16;9.3
3;42149;9.5
4;42152;4.2
4;8;13.7
4;33;16.1
5;9;6.9
5;6;25.7
6;2;7.1
6;7;25.5
7;3;6.6
8;42147;12.0
8;11;25.5
8;15;14.0
9;12;6.9
9;40;25.4
10;6;6.8
10;9;25.7
11;7;7.1
11;10;25.6
12;25690;6.9
12;13;25.7
13;10;7.1
14;11;14.2
14;25691;25.5
15;14;25.5
15;21;14.1
16;18;11.8
16;2;27.2
17;42150;5.1
18;34;15.0
19;42154;7.3
20;14;14.0
20;21;13.1
21;27;14.4
21;25694;13.1
22;15;25.7
23;25695;12.4
23;22;22.6
24;28;14.8
24;52;13.6
25;25693;14.0
25;24;13.6
26;25;13.4
26;20;14.0
27;26;13.4
27;31;14.6
28;55;10.7
28;21500;1.6
29;25;15.0
29;28;10.5
30;29;10.8
30;26;15.2
31;30;11.1
32;25697;14.6
32;42145;7.0
33;4;16.1
34;43330;26.5
34;41402;6.3
35;38;4.6
35;36;25.8
35;42146;3.1
36;62;8.2
36;37;25.7
37;40;6.9
37;5;25.4
38;60;4.2
38;41;4.8
39;36;7.0
39;38;26.0
40;43;7.1
40;39;25.7
41;42;26.1
41;44;4.6
42;39;7.0
42;43;25.7
43;46;6.8
43;12;25.5
44;58;8.5
44;47;9.5
45;42;6.9
45;44;25.8
46;49;14.1
46;45;25.4
47;48;13.1
47;50;9.5
48;45;13.8
48;49;12.9
49;52;14.2
49;25692;13.1
50;65;4.9
50;53;9.9
51;48;14.2
51;50;13.5
52;51;13.3
52;55;14.9
53;203;1.3
53;66;3.9
54;51;14.8
54;53;10.7
55;69015;1.6
55;69066;6.6
56;62;8.0
57;64;1.7
57;58;10.1
58;59;4.9
59;41;6.2
59;60;4.4
60;61;5.4
61;35;1.8
61;63351;2.0
62;41650;1.5
62;63;11.2
63;37;8.0
63;21399;4.3
64;53152;2.5
64;65;14.3
65;66;15.3
65;127;3.9
66;191;4.2
67;68;19.4
68;41932;13.1
68;77;9.8
69;21464;1.0
69;2585;31.4
69;1156;101.6
69;65037;20.9
70;81;0.7
71;95;21.2
71;83;8.6
72;662;6.6
73;79;22.6
73;2131;6.8
74;1155;1.5
74;75;14.4
75;67;1.9
75;20129;3.4
76;1165;1.7
76;1167;32.0
77;1859;10.5
77;78;7.4
78;1153;3.1
79;2699;3.9
79;1859;7.9
80;85;13.6
80;88;15.9
81;9343;13.9
81;2588;7.3
82;6037;8.2
83;82;26.2
83;72;5.0
84;1798;2.7
84;18457;19.5
84;87;8.7
85;2118;11.4
85;91;9.3
86;2136;3.1
87;84;8.7
87;1839;9.5
88;87;2.8
89;90;4.8
89;1183;32.0
90;93;1.6
91;25495;2.7
91;90;3.8
92;2702;2.0
92;68292;1.5
93;1184;36.1
93;70;8.1
94;2587;8.3
95;94;15.0
95;1170;16.9
