id;y;x
1;-22.9809491;-43.2068586
2;-22.981045;-43.2047561
3;-22.9811603;-43.202639
4;-22.9812671;-43.2005072
5;-22.9814703;-43.2069254
6;-22.981584;-43.2047923
7;-22.9816651;-43.2026731
8;-22.9823132;-43.2005985
9;-22.9819971;-43.2069634
10;-22.9820994;-43.2048317
11;-22.982206;-43.2027095
12;-22.9825268;-43.2069913
13;-22.9826381;-43.2048593
14;-22.9832869;-43.2027824
15;-22.9833811;-43.2006642
16;-22.9804502;-43.2025921
17;-22.9799521;-43.2008934
18;-22.9795532;-43.2025307
19;-22.9801679;-43.2047082
20;-22.9843556;-43.2028547
21;-22.9844609;-43.2007325
22;-22.9834935;-43.1985303
23;-22.9837399;-43.1967824
24;-22.9852097;-43.2071628
25;-22.9853244;-43.2050233
26;-22.985423;-43.2029177
27;-22.9855586;-43.2008071
28;-22.9863404;-43.2072504
29;-22.9864467;-43.2051772
30;-22.9865611;-43.2030553
31;-22.9866732;-43.2008759
32;-22.9867841;-43.1987442
33;-22.9813286;-43.1991709
34;-22.9787363;-43.1997027
35;-22.9811341;-43.2133028
36;-22.9812353;-43.2111597
37;-22.9813498;-43.2090298
38;-22.98165;-43.2133493
39;-22.9817702;-43.211196
40;-22.981876;-43.209065
41;-22.9821954;-43.2133612
42;-22.982305;-43.211239
43;-22.9824164;-43.2091058
44;-22.9827181;-43.2134
45;-22.9828334;-43.2112609
46;-22.9829363;-43.2091512
47;-22.9837922;-43.2134632
48;-22.9838886;-43.2113268
49;-22.9840115;-43.2092282
50;-22.9848733;-43.2135157
51;-22.9849728;-43.2113944
52;-22.9850936;-43.2093023
53;-22.9859937;-43.2135764
54;-22.9861015;-43.2114642
55;-22.9862279;-43.2093612
56;-22.9805408;-43.212763
57;-22.9837207;-43.2144921
58;-22.9826329;-43.2140914
59;-22.9821218;-43.2138674
60;-22.9816482;-43.2136943
61;-22.981081;-43.2134352
62;-22.9806204;-43.2111792
63;-22.9807392;-43.2089714
64;-22.9837404;-43.214208
